timestamp,symbol,action,price,qty,cash,coin_qty,portfolio_value
2026-08-13T11:13:18.650262+00:00,BTCUSDT,HOLD,63614.77,0.0,5000.0,0.0,5000.0
2026-08-13T11:13:18.650262+00:00,ETHUSDT,HOLD,1881.34,0.0,5000.0,0.0,5000.0
2026-08-13T11:43:33.214764+00:00,BTCUSDT,HOLD,63439.45,0.0,5000.0,0.0,5000.0
2026-08-13T11:43:33.214764+00:00,ETHUSDT,HOLD,1879.1,0.0,5000.0,0.0,5000.0
2026-08-13T12:33:53.858936+00:00,BTCUSDT,HOLD,63546.0,0.0,5000.0,0.0,5000.0
2026-08-13T12:33:53.858936+00:00,ETHUSDT,HOLD,1885.81,0.0,5000.0,0.0,5000.0
2026-08-13T14:07:20.595565+00:00,BTCUSDT,HOLD,63711.99,0.0,5000.0,0.0,5000.0
2026-08-13T14:07:20.595565+00:00,ETHUSDT,HOLD,1889.64,0.0,5000.0,0.0,5000.0
2026-08-13T15:14:11.277222+00:00,BTCUSDT,HOLD,63828.52,0.0,5000.0,0.0,5000.0
2026-08-13T15:14:11.277222+00:00,ETHUSDT,HOLD,1892.2,0.0,5000.0,0.0,5000.0
2026-08-13T16:11:06.227752+00:00,BTCUSDT,HOLD,63465.84,0.0,5000.0,0.0,5000.0
2026-08-13T16:11:06.227752+00:00,ETHUSDT,HOLD,1880.69,0.0,5000.0,0.0,5000.0
2026-08-13T17:12:00.212259+00:00,BTCUSDT,HOLD,63141.36,0.0,5000.0,0.0,5000.0
2026-08-13T17:12:00.212259+00:00,ETHUSDT,HOLD,1876.42,0.0,5000.0,0.0,5000.0
2026-08-13T18:07:43.895220+00:00,BTCUSDT,HOLD,63228.01,0.0,5000.0,0.0,5000.0
2026-08-13T18:07:43.895220+00:00,ETHUSDT,HOLD,1879.62,0.0,5000.0,0.0,5000.0
2026-08-13T19:18:46.093808+00:00,BTCUSDT,HOLD,63415.56,0.0,5000.0,0.0,5000.0
2026-08-13T19:18:46.093808+00:00,ETHUSDT,BUY,1889.44,2.643640443729359,0.0,2.643640443729359,4995.0
2026-08-13T20:03:56.680560+00:00,BTCUSDT,SELL,63385.96,0.0,5000.0,0.0,5000.0
2026-08-13T20:03:56.680560+00:00,ETHUSDT,SELL,1887.34,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-13T21:01:52.923400+00:00,BTCUSDT,HOLD,63400.0,0.0,5000.0,0.0,5000.0
2026-08-13T21:01:52.923400+00:00,ETHUSDT,HOLD,1886.64,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-13T22:01:33.822402+00:00,BTCUSDT,SELL,63527.99,0.0,5000.0,0.0,5000.0
2026-08-13T22:01:33.822402+00:00,ETHUSDT,SELL,1890.03,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-13T23:00:32.358288+00:00,BTCUSDT,HOLD,63532.0,0.0,5000.0,0.0,5000.0
2026-08-13T23:00:32.358288+00:00,ETHUSDT,HOLD,1888.98,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-13T23:57:08.853508+00:00,BTCUSDT,HOLD,63462.59,0.0,5000.0,0.0,5000.0
2026-08-13T23:57:08.853508+00:00,ETHUSDT,HOLD,1885.34,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-14T01:53:33.501420+00:00,BTCUSDT,HOLD,63547.99,0.0,5000.0,0.0,5000.0
2026-08-14T01:53:33.501420+00:00,ETHUSDT,HOLD,1888.94,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-14T04:02:46.118314+00:00,BTCUSDT,HOLD,63340.0,0.0,5000.0,0.0,5000.0
2026-08-14T04:02:46.118314+00:00,ETHUSDT,HOLD,1883.47,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-14T05:45:21.168471+00:00,BTCUSDT,HOLD,63350.0,0.0,5000.0,0.0,5000.0
2026-08-14T05:45:21.168471+00:00,ETHUSDT,HOLD,1883.75,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-14T07:17:07.393065+00:00,BTCUSDT,HOLD,63096.8,0.0,5000.0,0.0,5000.0
2026-08-14T07:17:07.393065+00:00,ETHUSDT,HOLD,1876.71,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-14T08:42:56.961247+00:00,BTCUSDT,HOLD,62821.63,0.0,5000.0,0.0,5000.0
2026-08-14T08:42:56.961247+00:00,ETHUSDT,HOLD,1873.32,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-14T09:43:55.298617+00:00,BTCUSDT,HOLD,62756.77,0.0,5000.0,0.0,5000.0
2026-08-14T09:43:55.298617+00:00,ETHUSDT,HOLD,1872.23,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-14T10:40:57.316499+00:00,BTCUSDT,HOLD,62891.74,0.0,5000.0,0.0,5000.0
2026-08-14T10:40:57.316499+00:00,ETHUSDT,HOLD,1876.84,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-14T11:27:50.167787+00:00,BTCUSDT,HOLD,62909.28,0.0,5000.0,0.0,5000.0
2026-08-14T11:27:50.167787+00:00,ETHUSDT,HOLD,1878.01,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-14T12:09:17.913299+00:00,BTCUSDT,HOLD,62844.19,0.0,5000.0,0.0,5000.0
2026-08-14T12:09:17.913299+00:00,ETHUSDT,HOLD,1877.77,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T05:39:18.213811+00:00,BTCUSDT,HOLD,HOLD,63074.99,0.0,5000.0,0.0,5000.0
2026-08-16T05:39:18.213811+00:00,ETHUSDT,HOLD,HOLD,1881.04,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T06:02:14.030127+00:00,BTCUSDT,HOLD,HOLD,63066.9,0.0,5000.0,0.0,5000.0
2026-08-16T06:02:14.030127+00:00,ETHUSDT,HOLD,HOLD,1880.58,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T06:56:15.571433+00:00,BTCUSDT,HOLD,HOLD,63071.01,0.0,5000.0,0.0,5000.0
2026-08-16T06:56:15.571433+00:00,ETHUSDT,HOLD,HOLD,1880.57,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T07:38:11.270081+00:00,BTCUSDT,HOLD,HOLD,63061.02,0.0,5000.0,0.0,5000.0
2026-08-16T07:38:11.270081+00:00,ETHUSDT,HOLD,HOLD,1881.15,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T08:01:11.879262+00:00,BTCUSDT,HOLD,HOLD,63061.03,0.0,5000.0,0.0,5000.0
2026-08-16T08:01:11.879262+00:00,ETHUSDT,HOLD,HOLD,1881.53,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T08:43:24.287709+00:00,BTCUSDT,HOLD,HOLD,63072.42,0.0,5000.0,0.0,5000.0
2026-08-16T08:43:24.287709+00:00,ETHUSDT,HOLD,HOLD,1880.59,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T09:12:37.946490+00:00,BTCUSDT,HOLD,HOLD,63072.42,0.0,5000.0,0.0,5000.0
2026-08-16T09:12:37.946490+00:00,ETHUSDT,HOLD,HOLD,1881.33,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T09:46:01.013166+00:00,BTCUSDT,HOLD,HOLD,62968.99,0.0,5000.0,0.0,5000.0
2026-08-16T09:46:01.013166+00:00,ETHUSDT,SELL,SELL,1879.28,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T10:08:43.613176+00:00,BTCUSDT,HOLD,HOLD,62973.3,0.0,5000.0,0.0,5000.0
2026-08-16T10:08:43.613176+00:00,ETHUSDT,HOLD,HOLD,1879.87,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T10:40:58.617191+00:00,BTCUSDT,HOLD,HOLD,63008.57,0.0,5000.0,0.0,5000.0
2026-08-16T10:40:58.617191+00:00,ETHUSDT,HOLD,HOLD,1880.66,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T11:01:06.598038+00:00,BTCUSDT,HOLD,HOLD,63008.56,0.0,5000.0,0.0,5000.0
2026-08-16T11:01:06.598038+00:00,ETHUSDT,HOLD,HOLD,1880.79,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T11:30:51.797478+00:00,BTCUSDT,HOLD,HOLD,62981.94,0.0,5000.0,0.0,5000.0
2026-08-16T11:30:51.797478+00:00,ETHUSDT,HOLD,HOLD,1880.65,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T11:53:02.038978+00:00,BTCUSDT,HOLD,HOLD,62983.98,0.0,5000.0,0.0,5000.0
2026-08-16T11:53:02.038978+00:00,ETHUSDT,HOLD,HOLD,1880.16,0.0,4984.4589067131,0.0,4984.4589067131
2026-08-16T12:37:22.572667+00:00,BTCUSDT,HOLD,HOLD,63005.97,0.0,5000.0,0.0,5000.0
2026-08-16T12:37:22.572667+00:00,ETHUSDT,HOLD,HOLD,1880.01,0.0,4984.4589067131,0.0,4984.4589067131
